Instrument;Quote (bid. %);Quote (ask. %);Quote (mid. %);Underlying 1st leg;Underlying 2nd leg;Start Date;Maturity Date
3E6E3Y;13.45;14.45;13.95;Euribor3M;Euribor6M;Thu 13 Dec 2012;Mon 14 Dec 2015
3E6E4Y;13.4;14.4;13.9;Euribor3M;Euribor6M;Thu 13 Dec 2012;Tue 13 Dec 2016
3E6E5Y;13.45;14.45;13.95;Euribor3M;Euribor6M;Thu 13 Dec 2012;Wed 13 Dec 2017
3E6E6Y;13.25;14.25;13.75;Euribor3M;Euribor6M;Thu 13 Dec 2012;Thu 13 Dec 2018
3E6E7Y;13;14;13.5;Euribor3M;Euribor6M;Thu 13 Dec 2012;Fri 13 Dec 2019
3E6E8Y;12.7;13.7;13.2;Euribor3M;Euribor6M;Thu 13 Dec 2012;Mon 14 Dec 2020
3E6E9Y;12.35;13.35;12.85;Euribor3M;Euribor6M;Thu 13 Dec 2012;Mon 13 Dec 2021
3E6E10Y;12;13;12.5;Euribor3M;Euribor6M;Thu 13 Dec 2012;Tue 13 Dec 2022
3E6E11Y;11.65;12.65;12.15;Euribor3M;Euribor6M;Thu 13 Dec 2012;Wed 13 Dec 2023
3E6E12Y;11.2;12.2;11.7;Euribor3M;Euribor6M;Thu 13 Dec 2012;Fri 13 Dec 2024
3E6E15Y;9.95;10.95;10.45;Euribor3M;Euribor6M;Thu 13 Dec 2012;Mon 13 Dec 2027
3E6E20Y;8.35;9.35;8.85;Euribor3M;Euribor6M;Thu 13 Dec 2012;Mon 13 Dec 2032
3E6E25Y;7.3;8.3;7.8;Euribor3M;Euribor6M;Thu 13 Dec 2012;Mon 14 Dec 2037
3E6E30Y;6.5;7.5;7;Euribor3M;Euribor6M;Thu 13 Dec 2012;Mon 15 Dec 2042
3E6E40Y;5.5;6.5;6;Euribor3M;Euribor6M;Thu 13 Dec 2012;Fri 13 Dec 2052
3E6E50Y;4.9;5.9;5.4;Euribor3M;Euribor6M;Thu 13 Dec 2012;Wed 13 Dec 2062
6E12E1Y;;;26.2;Euribor6M;Euribor12M;Thu 13 Dec 2012;Fri 13 Dec 2013
6E12E2Y;;;20.7;Euribor6M;Euribor12M;Thu 13 Dec 2012;Mon 15 Dec 2014
6E12E3Y;;;17.9;Euribor6M;Euribor12M;Thu 13 Dec 2012;Mon 14 Dec 2015
6E12E4Y;;;16.4;Euribor6M;Euribor12M;Thu 13 Dec 2012;Tue 13 Dec 2016
6E12E5Y;;;15.1;Euribor6M;Euribor12M;Thu 13 Dec 2012;Wed 13 Dec 2017
6E12E6Y;;;13.9;Euribor6M;Euribor12M;Thu 13 Dec 2012;Thu 13 Dec 2018
6E12E7Y;;;13;Euribor6M;Euribor12M;Thu 13 Dec 2012;Fri 13 Dec 2019
6E12E8Y;;;12.3;Euribor6M;Euribor12M;Thu 13 Dec 2012;Mon 14 Dec 2020
6E12E9Y;;;11.8;Euribor6M;Euribor12M;Thu 13 Dec 2012;Mon 13 Dec 2021
6E12E10Y;;;11.3;Euribor6M;Euribor12M;Thu 13 Dec 2012;Tue 13 Dec 2022
6E12E11Y;;;10.9;Euribor6M;Euribor12M;Thu 13 Dec 2012;Wed 13 Dec 2023
6E12E12Y;;;10.6;Euribor6M;Euribor12M;Thu 13 Dec 2012;Fri 13 Dec 2024
6E12E15Y;;;9.3;Euribor6M;Euribor12M;Thu 13 Dec 2012;Mon 13 Dec 2027
6E12E20Y;;;8;Euribor6M;Euribor12M;Thu 13 Dec 2012;Mon 13 Dec 2032
6E12E25Y;;;7.2;Euribor6M;Euribor12M;Thu 13 Dec 2012;Mon 14 Dec 2037
6E12E30Y;;;6.6;Euribor6M;Euribor12M;Thu 13 Dec 2012;Mon 15 Dec 2042
